"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Guerrero Jr., Vladimir",665489,2026,520,401,0.258,0.282,-0.024,0.348,0.397,-0.049,0.302,0.331,-0.029
"Bogaerts, Xander",593428,2026,519,359,0.217,0.244,-0.027,0.322,0.374,-0.052,0.291,0.321,-0.03
"Stott, Bryson",681082,2026,518,376,0.259,0.268,-0.009,0.409,0.403,0.006,0.328,0.329,-0.001
"Contreras, Willson",575929,2026,517,307,0.274,0.254,0.02,0.516,0.483,0.033,0.39,0.374,0.016
"Keaschall, Luke",807712,2026,516,371,0.277,0.244,0.033,0.395,0.361,0.034,0.34,0.315,0.025
"Jensen, Carter",695600,2026,512,306,0.221,0.202,0.019,0.409,0.363,0.046,0.315,0.291,0.024
"Lee, Jung Hoo",808982,2026,511,429,0.288,0.293,-0.005,0.419,0.387,0.032,0.329,0.32,0.009
"Marsh, Brandon",669016,2026,511,349,0.271,0.257,0.014,0.426,0.411,0.015,0.321,0.308,0.013
"Baldwin, Drake",686948,2026,509,344,0.279,0.276,0.003,0.456,0.495,-0.039,0.357,0.368,-0.011
"Rocchio, Brayan",677587,2026,509,394,0.248,0.245,0.003,0.363,0.348,0.015,0.298,0.292,0.006
"Adames, Willy",642715,2026,505,327,0.23,0.222,0.008,0.424,0.391,0.033,0.311,0.296,0.015
"Arenado, Nolan",571448,2026,504,350,0.238,0.223,0.015,0.429,0.344,0.085,0.323,0.286,0.037
"Chisholm Jr., Jazz",665862,2026,500,298,0.228,0.215,0.013,0.4,0.37,0.03,0.31,0.295,0.015
"Durbin, Caleb",702332,2026,499,381,0.253,0.237,0.016,0.39,0.32,0.07,0.317,0.288,0.029
"Duran, Ezequiel",677649,2026,499,338,0.273,0.245,0.028,0.448,0.376,0.072,0.339,0.303,0.036
"Bauers, Jake",641343,2026,493,287,0.274,0.259,0.015,0.498,0.476,0.022,0.385,0.373,0.012
